Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
11925195800,[TẶNG THẺ TEST UV] Khẩu Trang Vải Chống Tia UV UPF JKT06 Jussy Official Khẩu Trang Full Logo Đổi Màu Chất Lụa Băng,"49,0k",10k+,Jussy Official,16%,₫7.840,https://shopee.vn/product/22431875/11925195800,https://s.shopee.vn/10zKWiQp8b
51254381661,G63- Tặng kèm túi Set áo thun thỏ kèm chân váy vàng dành cho bé gái (12-40kg),"189,0k",724,Tuyết Hằng Shoppp,17%,₫32.130,https://shopee.vn/product/1129568500/51254381661,https://s.shopee.vn/qfuKPRSTa
27436791922,"Bộ Cộc Tay Cho Bé, Vải Siêu Đẹp Mềm Mịn, (Có Size lớn), Quần Áo Độc Lập Tự Do Kèm Khăn Quàng Đỏ Từ 7 - 42kg","108,0k",7k+,TYMOKIBaby,7%,₫7.560,https://shopee.vn/product/65973376/27436791922,https://s.shopee.vn/gMU86S5oZ
43360135720,SÉT bộ áo ba lỗ+quần suông bồng bí chất đũi mát TOP nữ,"146,1k",2k+,XƯỞNG MAY ANH THƯ 99,20%,₫29.216,https://shopee.vn/product/665803781/43360135720,https://s.shopee.vn/W33vnSj9Y
24773106524,Quần Short KaKi Cạp Cao BigSize Gập Gấu Quần Đùi Sắn Gấu Phong Cách Hàn Quốc 128,"88,2k",10k+,Hannako-Fashion,22%,₫19.404,https://shopee.vn/product/1228901222/24773106524,https://s.shopee.vn/LjdjUTMUX
19477661994,"Váy 2 dây nữ cúp ngực xếp ly dáng dài, đầm maxi phong cách tiểu thư xixeoshop - V458","179,0k",200k+,xí xẹo shop,15%,₫26.850,https://shopee.vn/product/7254273/19477661994,https://s.shopee.vn/BQDXBTzpW
24214699745,Dép Nam LV Siêu Cấp Hàng Đẹp Đế 2 Lớp (ful box) - Dép L/V Quai Da Đế Cao Su Hàng qccc Loại 1 2026.,"297,0k",2k+,KAKY LEVER,12%,₫35.640,https://shopee.vn/product/734757113/24214699745,https://s.shopee.vn/16nKsUdAV
44267625240,"2 Túi Nước Xả Quần Áo Hygiene Expert Care Túi 1100ml – Lưu Hương Bền Lâu, Quần Áo mềm mại","36,2k",4k+,MAIKHANHVINA2,24%,₫8.694,https://shopee.vn/product/1469685165/44267625240,https://s.shopee.vn/2Vo8JTL760
27612636155,"Set áo ""VIỀN BÈO"" + chân váy REN tầng ( có lót quần)","181,0k",2k+,Cá Boutique,15%,₫27.150,https://shopee.vn/product/818306008/27612636155,https://s.shopee.vn/2LUi7ALkQz
41512370885,"Đầm Lụa Chấm Bi - Đầm Lụa Trơn Có Tay Form Dài, Váy Lụa Hàn Châu 1 Lớp Không Mút, Không Dây Kéo","465,0k",10k+,Lyc Fashion,11%,₫51.150,https://shopee.vn/product/50591810/41512370885,https://s.shopee.vn/2BBHurMNly
22070164313,Bộ Thể Thao Nam Cổ Tròn Tay Ngắn Chất Liệu Thun Lạnh Coolmax Thấm Hút Mồ Hôi Tốt Full size 45-95kg,"135,0k",30k+,Litaia,12%,₫16.200,https://shopee.vn/product/273744769/22070164313,https://s.shopee.vn/20rriYN16x
28773048056,"Đồ bộ LUXURY PIJAMA lụa latin cao cấp, mềm mịn sang trọng tay dài trắng trơn TD028","236,7k",1k+,Luxury's Pijama Official Store,17%,₫40.236,https://shopee.vn/product/1432820440/28773048056,https://s.shopee.vn/1qYRWFNeRw
27726706905,Thùng 10 Bịch Khăn giấy cao cấp rút đáy treo tường TopGia Tiểu Hạ giấy vệ sinh 4 lớp dày dặn mềm mịn,"129,0k",1k+,TopGia VN,14%,₫18.060,https://shopee.vn/product/86709020/27726706905,https://s.shopee.vn/1gF1JwOHmv
27475545769,"Áo Chống Nắng Toàn Thân Nữ 2 Lớp Dáng Croptop,Vải Umi Co Giãn Chống Nắng Tốt","135,0k",8k+,Nutriboost93,12%,₫16.200,https://shopee.vn/product/99939683/27475545769,https://s.shopee.vn/1Vvb7dOv7u
44706513854,"(Shopmemo 8-25kg) Bộ Pijama Bánh Bèo Chấm Bi Cộc Tay, Chất Liệu Vải Đũi Mềm Phối Cổ Sen Cho Bé Gái Mặc Nhà Dễ Thương","89,0k",8k+,Shop Mẹ Mỡ 283,13%,₫11.570,https://shopee.vn/product/110472489/44706513854,https://s.shopee.vn/1LcAvKPYSt
28909395134,Set 3 Món - Áo 2 Dây Phối Sơ Mi Dài Tay Sọc Kẻ Xanh Có Mũ Mix Quần Đùi Trắng Xinh Mê Xưởng Bảo Ngọc,"179,3k",7k+,Xuong May Bao Ngoc,14%,₫25.108,https://shopee.vn/product/1321858889/28909395134,https://s.shopee.vn/9AL2FivjZQ
54457069589,Đầm tiểu thư nữ thiết kế cổ tròn tay cộc đính nơ cổ dáng bí thanh lịch KEELIN BEAUTY N356,"289,0k",3k+,Keelin Beauty,16%,₫46.240,https://shopee.vn/product/1155782782/54457069589,https://s.shopee.vn/901c3PwMuP
26167737434,"Áo Choàng Chống Nắng 2 Lớp Croptop Nữ, Áo Choàng Toàn Thân Cao Cấp","137,5k",883,HAMA Store86,16%,₫22.000,https://shopee.vn/product/1229667894/26167737434,https://s.shopee.vn/8piBr6x0FO
51157496106,[FULL SET 4 MÓN] Bộ sơ mi kẻ xanh bé trai TẶNG KÈM MŨ và áo ba lỗ Strawberry - Set đồ đi chơi cực chất cho bé,"185,0k",1k+,Min Dan shop,12%,₫22.200,https://shopee.vn/product/162022810/51157496106,https://s.shopee.vn/8fOlenxdaN
23648066690,𝗩𝗶𝗱𝗲𝗼 𝗔̉𝗻𝗵 𝗧𝗵𝗮̣̂𝘁 ✔  Set Váy Nữ Áo Kiểu Nữ Tơ Nhũ Trễ Cổ Viền Ngọc Tay Phồng Có Lớp Lót Mix phần chân váy Xế,"235,0k",1k+,Shop Phương Nhi ,13%,₫30.550,https://shopee.vn/product/188209695/23648066690,https://s.shopee.vn/8V5LSUyGvM
43450519250,"Set Túi Mũ Cói Đi Biển Cho Nữ - Túi Cói Có Khóa Kéo, Tua Rua Ngọc Nơ Ren Đi Chơi Du Lịch Siêu Xinh","47,0k",10k+,Louis Hanoi Store,15%,₫7.057,https://shopee.vn/product/257457581/43450519250,https://s.shopee.vn/8KlvGByuGL
26500886531,Áo Chống Nắng Toàn Thân Nữ From Dài Rộng Chất Vải Umi Hàn UPT50+ Chống Tia UV Chất Liệu Vải Co Giãn - Samca Fashion,"115,0k",30k+,Samca Fashion,17%,₫19.550,https://shopee.vn/product/715530620/26500886531,https://s.shopee.vn/8ASV3szXbK
41367864963,"Set bộ áo cổ V form bồng bí ngô xinh 2 lớp, kèm chân váy bí phồng xinh đẹp dành cho bé gái (8-30kg)","146,0k",3k+,Tuyết Hằng Shoppp,17%,₫24.823,https://shopee.vn/product/1129568500/41367864963,https://s.shopee.vn/8094ra0AwJ
